label,delivery_date,outright
TOD,2026-07-17,162.45071
TOM,2026-07-21,162.4021
SPOT,2026-07-22,162.39
SN,2026-07-23,162.37734999999998
2W,2026-08-05,162.2085
3W,2026-08-12,162.119
1M,2026-08-24,161.96515
2M,2026-09-24,161.55964999999998
3M,2026-10-22,161.1865
4M,2026-11-24,160.754
5M,2026-12-22,160.37769999999998
6M,2027-01-22,159.94539999999998
7M,2027-02-22,159.54545
8M,2027-03-23,159.16819999999998
9M,2027-04-22,158.77874999999997
10M,2027-05-24,158.36849999999998
11M,2027-06-22,157.99845
1Y,2027-07-22,157.60664999999997
15M,2027-10-22,156.56035
21M,2028-04-24,154.42774999999997
2Y,2028-07-24,153.55949999999999
3Y,2029-07-23,150.1750505
4Y,2030-07-22,147.2489
5Y,2031-07-22,144.62609999999998
6Y,2032-07-22,142.2
7Y,2033-07-22,140.078501
8Y,2034-07-24,138.07
9Y,2035-07-23,136.32
10Y,2036-07-22,134.67
12Y,2038-07-22,126.90499999999999
15Y,2041-07-22,121.13
20Y,2046-07-23,113.71999999999998
30Y,2056-07-24,106.17369849999999
